Checklist	ERC000011	ENA default sample checklist			
tax_id	scientific_name	sample_alias	sample_title	sample_description	environmental_sample
#units	 	 	 	 	 
412754	bioreactor sludge metagenome	AS_ST	Anaerobic sludge degrading stearic acid	This are scaffolds, obtained from an anaerobic sludge, collected from a brewery wastewater treatment plant, which was the inoculum to develop long-chain fatty acids (specifically stearic acids) degrading cultures. The FastQ files were submitted to preprocessing and assembling with MOSCA (by using the tools FastQC, Trimmomatic and MetaSPAdes).	Yes
